firm,size,year,treshold,ROA3,ROA,FL,ETL,ROA2,ETLL,PPD,ROE,ROC,BVnK2,BVnK,GPM,PpDRG,RGSiD,NPA,RK,DAA,IADMA,IADMA2,KZP,KZP2,DZP,DZP2,ZFPP,IiPKKCHoSP,AR,ADA,AAA,RnSK,RnP,RnBA,EnR,OEnP,EnS,PPP,PPA,PPD,EDMA,EDMA2,OL,OL2,BL,NL,AL,AL2,PoOK,PoOK2,FM,VzGnSoD,FA,FLL,PnKZ,FS,OKP,InPoP,PRnK,OPnL,OPP,LP,DDkSK,ODA2,OKA,OKA2,ZnS,OnA2,OnB,SSnD,KSnDpDP,KSOLP,SSOLP,Unempoyment,Inlation,GDPgrove,GP,GP.index,EGP,KPEE
5,3,2010,500,0.069917,0.071018,0.608103,0.162610,0.043223,0.149346,0.095971,0.131614,0.085387,0.085387,0.052787,0.097269,0.137168,0.420752,0.072911,-0.086438,0.911763,0.053112,0.058995,0.277725,0.269771,0.722275,0.730229,0.289482,0.059763,0.042074,0.893886,0.815012,0.113447,0.066928,0.042095,1.107750,0.142049,0.610285,0.125921,0.061979,0.095971,0.556647,0.572447,0.505150,0.564274,0.342859,0.331303,0.003392,0.002580,-0.180322,-0.160388,-0.232955,1.169572,0.371051,0.628730,0.490516,0.905197,-0.137432,-0.003966,4.724909,0.381760,0.307522,0.045927,1.224292,0.548252,5.432550,4.814501,1.823980,0.492202,0.121962,1.477377,1.472760,0.180000,0.200000,10.300000,2.438991,0.024457,-0.011877,1.000000,2.630467,0.998044
5,3,2009,500,0.079379,0.069917,0.628730,0.149346,0.050275,0.134183,0.084706,0.205479,0.098652,0.098652,0.062482,0.102644,0.142794,0.450080,0.046879,-0.071036,0.883000,0.065222,0.110292,0.262406,0.258643,0.737594,0.741357,0.325628,0.040331,0.030297,0.910166,0.803676,0.165407,0.065420,0.046879,1.114413,0.145767,0.709850,0.119540,0.065097,0.084706,0.591516,0.631303,0.622222,0.633169,0.524346,0.520776,0.001785,0.003558,-0.139897,-0.131599,-0.250643,1.410275,0.283414,0.716491,0.939428,0.919552,-0.099131,0.279846,4.318129,0.366231,0.313591,0.042079,1.864938,0.621430,4.339929,4.402429,1.609191,0.544562,0.193512,1.406695,1.364090,0.550000,2.405833,6.800000,2.753202,0.003161,0.115528,1.012020,2.521749,0.989960
5,3,2008,500,0.057964,0.079379,0.716491,0.134183,0.023397,0.087514,0.040612,0.113942,0.076065,0.076065,0.030703,0.051667,0.070840,0.507607,-0.005086,-0.072390,0.868563,0.161863,0.191584,0.254746,0.299453,0.745254,0.700547,0.378239,0.023901,0.025165,0.837810,0.727690,0.107800,0.026930,0.021547,1.054482,0.116370,0.702715,0.070837,0.035284,0.040612,0.528836,0.567737,0.644846,0.511756,0.496454,0.480827,0.005450,0.009008,-0.157807,-0.233254,-0.362169,1.190584,0.199880,0.799898,0.486408,0.916655,-0.090474,0.583260,3.906106,0.598777,0.505161,0.044208,2.983261,0.567174,3.490072,4.090215,1.763129,0.498104,0.216070,1.337227,1.387310,5.770000,5.117500,5.600000,12.348720,0.146414,0.330241,0.907212,2.907131,1.055668
5,3,2007,500,0.047441,0.057964,0.799898,0.087514,0.013975,0.072992,0.031322,0.071316,0.073148,0.073148,0.021548,0.034825,0.049076,0.520702,-0.018599,-0.168203,0.889693,0.226024,0.190767,0.353361,0.437092,0.646639,0.562908,0.482443,0.033112,0.036512,0.773492,0.688170,0.059287,0.015934,0.012558,1.036082,0.123876,0.529128,0.071735,0.027473,0.031322,0.387059,0.427926,0.396062,0.297360,0.359189,0.334989,0.012100,0.019279,-0.488752,-0.644787,-0.794071,1.391882,0.211824,0.787460,0.437557,0.810942,-0.213408,0.354163,2.590525,0.735994,0.580823,0.042395,2.406079,0.427664,3.119902,3.664664,2.338284,0.382972,0.280891,1.429038,1.331220,4.580000,3.924167,6.900000,8.402534,0.192506,0.069444,0.681991,3.778226,1.000000
6,2,2014,700,0.053121,0.033538,0.629998,0.122272,0.012888,0.159481,0.083955,0.036994,0.057573,0.057573,0.013968,0.010691,0.011805,1.249200,0.123169,0.046420,0.927584,0.109431,0.114051,0.040843,0.118665,0.959157,0.881335,0.017828,0.101051,0.028098,0.877891,0.814318,0.036322,0.020746,0.013204,1.010807,0.038160,1.697275,0.037466,0.052155,0.083955,1.537589,1.493250,2.785714,0.876302,2.769841,2.523810,0.119048,0.029948,0.032547,-0.006871,0.127696,1.043415,0.363524,0.635348,2.825397,1.050044,0.072934,-0.074069,37.468254,0.747475,0.451220,0.071961,1.679342,1.493250,19.695157,20.543834,0.669680,1.392066,0.048170,1.474000,1.483000,0.020000,0.035000,11.400000,-1.418184,0.017866,-0.042470,1.288486,2.197621,1.018173
6,2,2013,700,0.056730,0.053121,0.635348,0.159481,0.014818,0.146442,0.071450,0.044240,0.065540,0.065540,0.017119,0.011755,0.012938,1.217453,0.102262,-0.062930,0.936676,0.118413,0.229238,0.189548,0.202112,0.810452,0.797888,0.112784,0.094618,0.022053,0.881587,0.825762,0.045347,0.022734,0.015143,1.011895,0.039486,2.018656,0.032414,0.046570,0.071450,1.567499,1.555903,0.501558,0.565497,0.498442,0.473520,0.012461,0.018611,-0.042861,-0.040651,-0.188457,1.083885,0.333923,0.665551,1.124611,0.932815,-0.094479,0.360175,6.920561,0.731118,0.487903,0.071450,1.616608,1.554931,23.186335,18.901266,0.643115,1.436736,0.041789,1.473555,1.419020,0.020000,0.018333,12.900000,0.890094,0.001536,-0.065055,1.345635,2.227299,1.014518
6,2,2012,700,0.061556,0.056730,0.665551,0.146442,0.049102,0.112057,0.086525,0.131500,0.075821,0.075821,0.060481,0.035142,0.049334,1.092168,0.088169,-0.054069,0.911831,0.338436,0.461247,0.214184,0.300267,0.785816,0.699733,0.201135,0.116474,0.012483,0.660744,0.602487,0.123388,0.062411,0.041447,1.036422,0.050246,2.491037,0.055566,0.068073,0.086525,1.135499,1.342054,0.619868,0.457888,0.617219,0.569536,0.023841,0.049229,-0.052286,-0.083257,-0.160965,1.056212,0.335908,0.662949,0.498013,0.940702,-0.081418,0.413962,6.030464,0.200000,0.156962,0.017589,1.553561,1.340579,11.728632,14.220207,0.745946,1.225086,0.081618,1.522050,1.483600,0.030000,0.113333,12.300000,2.954568,0.015862,0.249542,1.439266,1.996101,1.024021
6,2,2011,700,0.049905,0.061556,0.662949,0.112057,0.025989,0.133971,0.075120,0.058610,0.062923,0.062923,0.032769,0.028659,0.034571,2.513342,0.102108,-0.171640,0.916781,0.638673,0.613084,0.445455,0.371721,0.554545,0.628279,0.495694,0.171563,0.016581,0.361003,0.330961,0.056942,0.042584,0.024364,1.029505,0.044024,3.125604,0.040443,0.045846,0.075120,1.160191,1.209346,0.326531,0.300635,0.324382,0.184748,0.069817,0.052929,-0.161515,-0.127640,-0.401152,1.134745,0.427868,0.564381,0.601504,0.812780,-0.300000,0.094446,2.923738,0.429245,0.325000,0.043541,0.741523,1.208781,12.769737,18.225352,0.827280,1.133596,0.061051,1.406451,1.511580,0.220000,0.195000,11.300000,4.219903,0.080085,0.151835,1.151835,2.181925,1.043590
6,2,2010,700,0.076661,0.049905,0.564381,0.133971,0.048331,0.195703,0.128339,0.108844,0.084257,0.084257,0.053119,0.046840,0.053549,2.475294,0.069149,-0.113892,0.961827,0.585231,0.574561,0.282230,0.162139,0.717770,0.837861,0.791521,0.189305,0.020064,0.414769,0.398936,0.103121,0.088269,0.047559,1.049142,0.067973,2.708667,0.062306,0.070270,0.128339,1.153871,1.152372,0.251029,0.236332,0.251029,0.209877,0.020576,0.038801,-0.102622,-0.061037,-0.246947,1.129276,0.461202,0.537351,1.057613,0.881588,-0.211382,0.160668,5.576132,0.369403,0.293769,0.057491,0.838535,1.152372,29.073770,52.940299,0.867776,1.127822,0.031576,1.477377,1.472760,0.180000,0.200000,10.300000,2.438991,0.024457,-0.011877,1.000000,2.630467,0.998044
6,2,2009,700,0.056957,0.076661,0.537351,0.195703,0.028901,0.152676,0.092958,0.069831,0.061848,0.061848,0.031382,0.029195,0.035522,2.049031,0.041694,-0.022301,0.996122,0.563920,0.534445,0.045634,0.134903,0.954366,0.865097,0.954366,-0.146814,0.023086,0.436080,0.434389,0.067475,0.050141,0.028765,1.030073,0.057395,2.233102,0.053992,0.053580,0.092958,0.991564,1.039633,0.148148,0.574949,0.148148,-0.148148,0.148148,0.158111,-0.022579,-0.033868,-0.052312,1.063563,0.426309,0.572031,2.814815,0.977612,-0.038873,0.262810,37.197531,0.492308,0.354244,0.054085,1.284306,1.039633,254.666667,21.828571,0.961878,0.992369,0.000000,1.406695,1.364090,0.550000,2.405833,6.800000,2.753202,0.003161,0.115528,1.012020,2.521749,0.989960
6,2,2008,700,0.036781,0.056957,0.572031,0.152676,0.008494,0.093733,0.052316,0.016393,0.040420,0.040420,0.009335,0.005889,0.009503,1.831855,0.035563,-0.045024,0.912561,0.501966,0.343700,0.221253,0.186866,0.778747,0.813134,0.778747,-0.892904,0.020463,0.498034,0.454486,0.016260,0.010899,0.006525,1.005924,0.035785,1.698842,0.039669,0.040773,0.052316,0.865213,1.114950,0.660099,0.867925,0.660099,0.339901,0.160099,0.179245,-0.057025,-0.011570,-0.112195,1.292525,0.401305,0.590000,1.783251,0.950661,-0.075204,0.588969,6.549261,0.770833,0.430233,0.040327,1.161789,1.114950,9.029851,13.152174,0.896901,1.027819,0.083884,1.337227,1.387310,5.770000,5.117500,5.600000,12.348720,0.146414,0.330241,0.907212,2.907131,1.055668
6,2,2007,700,0.048098,0.036781,0.590000,0.093733,0.028221,0.370968,0.276498,0.038753,0.051393,0.051393,0.030154,0.031657,0.038842,1.322284,0.038321,0.049878,0.939173,0.056995,0.028637,0.041475,0.235892,0.958525,0.764108,0.958525,-0.349887,0.047436,0.943005,0.885645,0.038017,0.105991,0.027981,1.032692,0.051477,1.020436,0.078792,0.073620,0.276498,0.986399,0.991214,5.555556,0.894737,5.555556,4.333333,0.611111,0.148325,0.053841,-0.007223,0.067769,1.096677,0.736010,0.259032,8.888889,1.053109,0.188940,9.431507,90.333333,0.413793,0.223602,0.082949,0.343802,0.991214,15.230000,16.288770,1.008864,0.934356,0.058437,1.429038,1.331220,4.580000,3.924167,6.900000,8.402534,0.192506,0.069444,0.681991,3.778226,1.000000
